                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.1687,                 3.1013,                 1.8181,                 1.1846,                0.34917,                0.25078,                0.21887,                 0.0981,                 0.3401,                 0.2422,                0.20861,                0.07992,                   2.22,                 3.1727,                 1.8541,                 1.2178,              0.0006733,              0.0006733,              0.0006733
                     35,                 2.1726,                 3.1146,                 1.8036,                 1.1923,                0.37678,                0.26111,                0.23004,                0.10308,                0.37303,                0.25298,                0.22252,                0.08806,                  2.215,                 3.1443,                 1.8326,                 1.2155,              0.0006634,              0.0006634,              0.0006634
                     36,                 2.1766,                 3.1165,                 1.8335,                 1.1916,                0.39039,                0.25523,                 0.2357,                0.10437,                0.38351,                0.24679,                0.22558,                 0.0883,                 2.2001,                 3.1354,                 1.8531,                 1.2129,              0.0006535,              0.0006535,              0.0006535
                     37,                 2.1481,                 3.0886,                 1.7543,                 1.1841,                0.38492,                0.26323,                0.23328,                0.10366,                0.37711,                0.25347,                0.22379,                0.08945,                 2.1954,                 3.1431,                 1.8415,                 1.2015,              0.0006436,              0.0006436,              0.0006436
                     38,                 2.1655,                  3.092,                 1.7812,                   1.19,                0.37872,                0.26991,                0.23438,                0.10457,                0.37433,                0.25663,                 0.2244,                0.08866,                  2.195,                 3.1245,                 1.8031,                 1.2029,              0.0006337,              0.0006337,              0.0006337
                     39,                 2.1684,                 3.0849,                 1.7581,                 1.1904,                0.38422,                0.27348,                0.23952,                0.10797,                0.37463,                0.26378,                0.23001,                0.08954,                 2.1944,                 3.1143,                  1.791,                 1.2003,              0.0006238,              0.0006238,              0.0006238
                     40,                 2.1619,                 3.0815,                 1.7783,                 1.1837,                0.39912,                 0.2692,                0.24535,                0.10989,                0.40096,                0.25854,                0.23798,                0.09543,                 2.1837,                 3.1041,                 1.7957,                 1.2019,              0.0006139,              0.0006139,              0.0006139
                     41,                 2.1679,                 3.0845,                 1.7713,                  1.183,                0.40741,                0.27108,                0.24478,                 0.1095,                0.39593,                0.25886,                0.23169,                0.09037,                 2.1942,                 3.1402,                 1.7926,                 1.2084,               0.000604,               0.000604,               0.000604
                     42,                 2.1418,                 3.0548,                 1.7513,                  1.192,                0.40094,                0.27118,                0.23909,                0.10487,                0.39169,                0.26164,                 0.2294,                0.08947,                 2.1993,                 3.1164,                 1.7703,                 1.1992,              0.0005941,              0.0005941,              0.0005941
                     43,                 2.1417,                 3.0614,                 1.7536,                 1.1883,                0.37336,                  0.266,                0.23563,                0.10603,                0.37167,                0.25173,                0.22481,                0.08781,                 2.1914,                 3.1276,                   1.82,                 1.2035,              0.0005842,              0.0005842,              0.0005842
                     44,                  2.138,                 3.0765,                 1.7471,                 1.1743,                0.36054,                 0.2671,                0.22655,                0.10266,                0.35202,                0.25362,                0.21388,                0.08305,                 2.1774,                 3.1183,                  1.803,                 1.1927,              0.0005743,              0.0005743,              0.0005743
